Date,Month,Month Name,Region,City,Customer Type,Channel,Product,Category, Unit Price ,Quantity, Revenue ,Sales Rep, Cost Price , COGS , Profit 
2025-03-15,3,March,West,Lagos,Retail,Online,Laptop A13,Electronics," 420,000 ",9," 3,780,000 ",Musa," 336,000 "," 3,024,000 "," 756,000 "
2025-03-17,3,March,North,Lagos,Retail,Online,Laptop A13,Electronics," 420,000 ",5," 2,100,000 ",Grace," 336,000 "," 1,680,000 "," 420,000 "
2025-04-11,4,April,West,Kano,Corporate,Store,Smartphone Z10,Electronics," 250,000 ",4," 1,000,000 ",Peter," 200,000 "," 800,000 "," 200,000 "
2025-02-12,2,February,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",2," 440,000 ",Peter," 176,000 "," 352,000 "," 88,000 "
2025-02-10,2,February,East,Kano,Retail,Store,Printer P50,Electronics," 150,000 ",7," 1,050,000 ",Musa," 120,000 "," 840,000 "," 210,000 "
2025-03-03,3,March,South,Abuja,Corporate,Store,Desktop PC D21,Electronics," 300,000 ",5," 1,500,000 ",Peter," 240,000 "," 1,200,000 "," 300,000 "
2025-02-10,2,February,North,Kano,Retail,Online,Printer P50,Electronics," 150,000 ",4," 600,000 ",Peter," 120,000 "," 480,000 "," 120,000 "
2025-05-01,5,May,North,Kano,Corporate,Store,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",Grace," 68,000 "," 68,000 "," 17,000 "
2025-03-15,3,March,East,Port Harcourt,Retail,Store,Office Chair Pro,Furniture," 85,000 ",9," 765,000 ",David," 68,000 "," 612,000 "," 153,000 "
2025-04-04,4,April,East,Lagos,Retail,Store,Laptop A13,Electronics," 420,000 ",8," 3,360,000 ",Grace," 336,000 "," 2,688,000 "," 672,000 "
2025-04-15,4,April,North,Lagos,Corporate,Online,Laptop A13,Electronics," 420,000 ",10," 4,200,000 ",Grace," 336,000 "," 3,360,000 "," 840,000 "
2025-02-26,2,February,East,Port Harcourt,Retail,Store,Smartphone Z10,Electronics," 250,000 ",5," 1,250,000 ",Aisha," 200,000 "," 1,000,000 "," 250,000 "
2025-02-09,2,February,North,Lagos,Corporate,Store,Refrigerator R55,Home Appliances," 220,000 ",4," 880,000 ",Grace," 176,000 "," 704,000 "," 176,000 "
2025-03-30,3,March,West,Abuja,Corporate,Online,Printer P50,Electronics," 150,000 ",7," 1,050,000 ",Musa," 120,000 "," 840,000 "," 210,000 "
2025-03-01,3,March,South,Kano,Retail,Online,Office Chair Pro,Furniture," 85,000 ",3," 255,000 ",Peter," 68,000 "," 204,000 "," 51,000 "
2025-02-10,2,February,East,Port Harcourt,Retail,Store,Desktop PC D21,Electronics," 300,000 ",8," 2,400,000 ",Grace," 240,000 "," 1,920,000 "," 480,000 "
2025-02-09,2,February,West,Lagos,Corporate,Online,Refrigerator R55,Home Appliances," 220,000 ",1," 220,000 ",David," 176,000 "," 176,000 "," 44,000 "
2025-01-14,1,January,South,Abuja,Corporate,Online,Sofa Classic,Furniture," 320,000 ",7," 2,240,000 ",Grace," 256,000 "," 1,792,000 "," 448,000 "
2025-01-01,1,January,West,Abuja,Retail,Store,Printer P50,Electronics," 150,000 ",1," 150,000 ",Chidinma," 120,000 "," 120,000 "," 30,000 "
2025-02-20,2,February,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances," 180,000 ",9," 1,620,000 ",Grace," 144,000 "," 1,296,000 "," 324,000 "
2025-03-09,3,March,South,Kano,Retail,Online,Sofa Classic,Furniture," 320,000 ",5," 1,600,000 ",Grace," 256,000 "," 1,280,000 "," 320,000 "
2025-02-09,2,February,South,Kano,Corporate,Store,Printer P50,Electronics," 150,000 ",8," 1,200,000 ",Aisha," 120,000 "," 960,000 "," 240,000 "
2025-02-13,2,February,West,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture," 85,000 ",7," 595,000 ",David," 68,000 "," 476,000 "," 119,000 "
2025-03-13,3,March,South,Abuja,Corporate,Online,Sofa Classic,Furniture," 320,000 ",6," 1,920,000 ",David," 256,000 "," 1,536,000 "," 384,000 "
2025-02-03,2,February,West,Kano,Retail,Store,Laptop A13,Electronics," 420,000 ",8," 3,360,000 ",Aisha," 336,000 "," 2,688,000 "," 672,000 "
2025-02-04,2,February,South,Port Harcourt,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",7," 2,100,000 ",Peter," 240,000 "," 1,680,000 "," 420,000 "
2025-02-18,2,February,West,Port Harcourt,Retail,Online,Blender B10,Home Appliances," 30,000 ",6," 180,000 ",David," 24,000 "," 144,000 "," 36,000 "
2025-02-21,2,February,West,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances," 220,000 ",2," 440,000 ",Peter," 176,000 "," 352,000 "," 88,000 "
2025-01-24,1,January,West,Abuja,Retail,Online,Printer P50,Electronics," 150,000 ",1," 150,000 ",David," 120,000 "," 120,000 "," 30,000 "
2025-01-28,1,January,North,Lagos,Retail,Store,Sofa Classic,Furniture," 320,000 ",1," 320,000 ",Grace," 256,000 "," 256,000 "," 64,000 "
2025-04-18,4,April,North,Abuja,Corporate,Store,Blender B10,Home Appliances," 30,000 ",3," 90,000 ",David," 24,000 "," 72,000 "," 18,000 "
2025-01-03,1,January,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",5," 300,000 ",Musa," 48,000 "," 240,000 "," 60,000 "
2025-03-30,3,March,East,Kano,Corporate,Online,Printer P50,Electronics," 150,000 ",3," 450,000 ",Musa," 120,000 "," 360,000 "," 90,000 "
2025-04-04,4,April,East,Lagos,Retail,Online,Sofa Classic,Furniture," 320,000 ",10," 3,200,000 ",Musa," 256,000 "," 2,560,000 "," 640,000 "
2025-02-08,2,February,East,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances," 220,000 ",6," 1,320,000 ",Chidinma," 176,000 "," 1,056,000 "," 264,000 "
2025-03-16,3,March,West,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances," 180,000 ",8," 1,440,000 ",Musa," 144,000 "," 1,152,000 "," 288,000 "
2025-01-26,1,January,West,Kano,Retail,Store,Sofa Classic,Furniture," 320,000 ",2," 640,000 ",David," 256,000 "," 512,000 "," 128,000 "
2025-02-06,2,February,West,Lagos,Retail,Store,Desktop PC D21,Electronics," 300,000 ",9," 2,700,000 ",Peter," 240,000 "," 2,160,000 "," 540,000 "
2025-01-17,1,January,North,Kano,Retail,Store,Laptop A13,Electronics," 420,000 ",1," 420,000 ",Peter," 336,000 "," 336,000 "," 84,000 "
2025-04-06,4,April,East,Kano,Retail,Online,Microwave M20,Home Appliances," 60,000 ",1," 60,000 ",Musa," 48,000 "," 48,000 "," 12,000 "
2025-03-09,3,March,East,Lagos,Corporate,Store,Desktop PC D21,Electronics," 300,000 ",9," 2,700,000 ",Peter," 240,000 "," 2,160,000 "," 540,000 "
2025-01-06,1,January,West,Kano,Corporate,Online,Laptop A13,Electronics," 420,000 ",9," 3,780,000 ",David," 336,000 "," 3,024,000 "," 756,000 "
2025-02-20,2,February,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",8," 1,760,000 ",Aisha," 176,000 "," 1,408,000 "," 352,000 "
2025-01-02,1,January,South,Port Harcourt,Retail,Online,Office Chair Pro,Furniture," 85,000 ",10," 850,000 ",Peter," 68,000 "," 680,000 "," 170,000 "
2025-02-13,2,February,West,Kano,Corporate,Online,Printer P50,Electronics," 150,000 ",4," 600,000 ",Chidinma," 120,000 "," 480,000 "," 120,000 "
2025-01-20,1,January,East,Lagos,Corporate,Store,Smartphone Z10,Electronics," 250,000 ",1," 250,000 ",Musa," 200,000 "," 200,000 "," 50,000 "
2025-03-19,3,March,South,Lagos,Retail,Online,Blender B10,Home Appliances," 30,000 ",10," 300,000 ",Musa," 24,000 "," 240,000 "," 60,000 "
2025-03-05,3,March,South,Lagos,Corporate,Online,Laptop A13,Electronics," 420,000 ",4," 1,680,000 ",David," 336,000 "," 1,344,000 "," 336,000 "
2025-03-07,3,March,East,Lagos,Retail,Store,Office Chair Pro,Furniture," 85,000 ",2," 170,000 ",Peter," 68,000 "," 136,000 "," 34,000 "
2025-03-28,3,March,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",1," 220,000 ",Musa," 176,000 "," 176,000 "," 44,000 "
2025-01-14,1,January,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",9," 1,620,000 ",Grace," 144,000 "," 1,296,000 "," 324,000 "
2025-04-15,4,April,West,Kano,Retail,Store,Smartphone Z10,Electronics," 250,000 ",6," 1,500,000 ",Chidinma," 200,000 "," 1,200,000 "," 300,000 "
2025-04-16,4,April,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",3," 540,000 ",Grace," 144,000 "," 432,000 "," 108,000 "
2025-02-05,2,February,South,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",8," 480,000 ",Peter," 48,000 "," 384,000 "," 96,000 "
2025-04-10,4,April,North,Port Harcourt,Retail,Online,Microwave M20,Home Appliances," 60,000 ",3," 180,000 ",Chidinma," 48,000 "," 144,000 "," 36,000 "
2025-03-31,3,March,West,Kano,Corporate,Online,Blender B10,Home Appliances," 30,000 ",8," 240,000 ",Musa," 24,000 "," 192,000 "," 48,000 "
2025-01-09,1,January,South,Lagos,Retail,Store,Microwave M20,Home Appliances," 60,000 ",4," 240,000 ",Grace," 48,000 "," 192,000 "," 48,000 "
2025-02-19,2,February,South,Port Harcourt,Corporate,Store,Blender B10,Home Appliances," 30,000 ",3," 90,000 ",David," 24,000 "," 72,000 "," 18,000 "
2025-02-17,2,February,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances," 180,000 ",5," 900,000 ",Musa," 144,000 "," 720,000 "," 180,000 "
2025-04-21,4,April,North,Port Harcourt,Retail,Store,Refrigerator R55,Home Appliances," 220,000 ",3," 660,000 ",Grace," 176,000 "," 528,000 "," 132,000 "
2025-04-21,4,April,West,Lagos,Retail,Online,Microwave M20,Home Appliances," 60,000 ",4," 240,000 ",Aisha," 48,000 "," 192,000 "," 48,000 "
2025-04-13,4,April,North,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",Aisha," 68,000 "," 68,000 "," 17,000 "
2025-02-19,2,February,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances," 30,000 ",5," 150,000 ",David," 24,000 "," 120,000 "," 30,000 "
2025-02-18,2,February,East,Abuja,Retail,Store,Microwave M20,Home Appliances," 60,000 ",3," 180,000 ",Aisha," 48,000 "," 144,000 "," 36,000 "
2025-02-03,2,February,West,Abuja,Retail,Online,Microwave M20,Home Appliances," 60,000 ",6," 360,000 ",Chidinma," 48,000 "," 288,000 "," 72,000 "
2025-01-14,1,January,South,Kano,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",2," 600,000 ",Chidinma," 240,000 "," 480,000 "," 120,000 "
2025-01-23,1,January,West,Kano,Retail,Online,Printer P50,Electronics," 150,000 ",7," 1,050,000 ",David," 120,000 "," 840,000 "," 210,000 "
2025-04-19,4,April,North,Kano,Corporate,Store,Refrigerator R55,Home Appliances," 220,000 ",3," 660,000 ",Musa," 176,000 "," 528,000 "," 132,000 "
2025-01-06,1,January,West,Kano,Retail,Store,Microwave M20,Home Appliances," 60,000 ",9," 540,000 ",Peter," 48,000 "," 432,000 "," 108,000 "
2025-02-26,2,February,West,Lagos,Corporate,Store,Sofa Classic,Furniture," 320,000 ",2," 640,000 ",Musa," 256,000 "," 512,000 "," 128,000 "
2025-02-09,2,February,West,Kano,Corporate,Online,Refrigerator R55,Home Appliances," 220,000 ",5," 1,100,000 ",Chidinma," 176,000 "," 880,000 "," 220,000 "
2025-01-23,1,January,West,Port Harcourt,Corporate,Online,Printer P50,Electronics," 150,000 ",1," 150,000 ",Grace," 120,000 "," 120,000 "," 30,000 "
2025-02-13,2,February,South,Lagos,Retail,Store,Desktop PC D21,Electronics," 300,000 ",8," 2,400,000 ",Chidinma," 240,000 "," 1,920,000 "," 480,000 "
2025-02-20,2,February,East,Abuja,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",3," 660,000 ",Aisha," 176,000 "," 528,000 "," 132,000 "
2025-01-15,1,January,West,Port Harcourt,Retail,Online,Smartphone Z10,Electronics," 250,000 ",8," 2,000,000 ",Chidinma," 200,000 "," 1,600,000 "," 400,000 "
2025-04-19,4,April,South,Lagos,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",4," 1,200,000 ",Musa," 240,000 "," 960,000 "," 240,000 "
2025-05-01,5,May,South,Kano,Corporate,Store,Desktop PC D21,Electronics," 300,000 ",1," 300,000 ",Musa," 240,000 "," 240,000 "," 60,000 "
2025-04-27,4,April,East,Abuja,Retail,Online,Smartphone Z10,Electronics," 250,000 ",8," 2,000,000 ",Musa," 200,000 "," 1,600,000 "," 400,000 "
2025-03-04,3,March,West,Abuja,Corporate,Store,Air Conditioner X2,Home Appliances," 180,000 ",2," 360,000 ",Aisha," 144,000 "," 288,000 "," 72,000 "
2025-02-03,2,February,West,Abuja,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",6," 1,080,000 ",Musa," 144,000 "," 864,000 "," 216,000 "
2025-02-16,2,February,North,Lagos,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",2," 600,000 ",Musa," 240,000 "," 480,000 "," 120,000 "
2025-04-29,4,April,East,Port Harcourt,Corporate,Store,Printer P50,Electronics," 150,000 ",6," 900,000 ",Chidinma," 120,000 "," 720,000 "," 180,000 "
2025-03-06,3,March,South,Lagos,Corporate,Store,Laptop A13,Electronics," 420,000 ",10," 4,200,000 ",Chidinma," 336,000 "," 3,360,000 "," 840,000 "
2025-04-30,4,April,East,Kano,Retail,Online,Laptop A13,Electronics," 420,000 ",8," 3,360,000 ",Musa," 336,000 "," 2,688,000 "," 672,000 "
2025-01-20,1,January,South,Lagos,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",8," 1,440,000 ",Chidinma," 144,000 "," 1,152,000 "," 288,000 "
2025-01-03,1,January,South,Kano,Retail,Store,Desktop PC D21,Electronics," 300,000 ",4," 1,200,000 ",Aisha," 240,000 "," 960,000 "," 240,000 "
2025-01-15,1,January,South,Kano,Retail,Store,Laptop A13,Electronics," 420,000 ",1," 420,000 ",Peter," 336,000 "," 336,000 "," 84,000 "
2025-03-20,3,March,West,Kano,Corporate,Online,Blender B10,Home Appliances," 30,000 ",7," 210,000 ",Musa," 24,000 "," 168,000 "," 42,000 "
2025-02-26,2,February,South,Port Harcourt,Retail,Online,Laptop A13,Electronics," 420,000 ",3," 1,260,000 ",Musa," 336,000 "," 1,008,000 "," 252,000 "
2025-04-28,4,April,South,Port Harcourt,Retail,Store,Microwave M20,Home Appliances," 60,000 ",5," 300,000 ",Grace," 48,000 "," 240,000 "," 60,000 "
2025-04-21,4,April,West,Abuja,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",9," 2,700,000 ",Grace," 240,000 "," 2,160,000 "," 540,000 "
2025-04-26,4,April,East,Kano,Retail,Store,Sofa Classic,Furniture," 320,000 ",4," 1,280,000 ",Peter," 256,000 "," 1,024,000 "," 256,000 "
2025-01-28,1,January,North,Lagos,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",2," 360,000 ",Grace," 144,000 "," 288,000 "," 72,000 "
2025-02-24,2,February,East,Lagos,Retail,Online,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",Peter," 68,000 "," 68,000 "," 17,000 "
2025-02-11,2,February,North,Kano,Corporate,Store,Sofa Classic,Furniture," 320,000 ",7," 2,240,000 ",Peter," 256,000 "," 1,792,000 "," 448,000 "
2025-02-08,2,February,East,Abuja,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",9," 540,000 ",Chidinma," 48,000 "," 432,000 "," 108,000 "
2025-01-03,1,January,North,Abuja,Corporate,Store,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",David," 68,000 "," 68,000 "," 17,000 "
2025-03-26,3,March,East,Lagos,Retail,Online,Desktop PC D21,Electronics," 300,000 ",6," 1,800,000 ",Grace," 240,000 "," 1,440,000 "," 360,000 "
2025-01-17,1,January,North,Lagos,Corporate,Online,Blender B10,Home Appliances," 30,000 ",5," 150,000 ",Chidinma," 24,000 "," 120,000 "," 30,000 "
2025-03-09,3,March,North,Port Harcourt,Retail,Store,Printer P50,Electronics," 150,000 ",4," 600,000 ",Aisha," 120,000 "," 480,000 "," 120,000 "
2025-03-26,3,March,South,Port Harcourt,Corporate,Store,Printer P50,Electronics," 150,000 ",6," 900,000 ",Aisha," 120,000 "," 720,000 "," 180,000 "
2025-04-19,4,April,North,Lagos,Corporate,Store,Printer P50,Electronics," 150,000 ",8," 1,200,000 ",Aisha," 120,000 "," 960,000 "," 240,000 "
2025-01-16,1,January,South,Lagos,Retail,Store,Blender B10,Home Appliances," 30,000 ",6," 180,000 ",Chidinma," 24,000 "," 144,000 "," 36,000 "
2025-01-21,1,January,West,Lagos,Retail,Online,Smartphone Z10,Electronics," 250,000 ",3," 750,000 ",Peter," 200,000 "," 600,000 "," 150,000 "
2025-03-14,3,March,South,Lagos,Corporate,Online,Printer P50,Electronics," 150,000 ",5," 750,000 ",Chidinma," 120,000 "," 600,000 "," 150,000 "
2025-03-18,3,March,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",1," 220,000 ",Aisha," 176,000 "," 176,000 "," 44,000 "
2025-01-13,1,January,North,Lagos,Retail,Store,Sofa Classic,Furniture," 320,000 ",10," 3,200,000 ",Peter," 256,000 "," 2,560,000 "," 640,000 "
2025-01-26,1,January,South,Port Harcourt,Corporate,Store,Microwave M20,Home Appliances," 60,000 ",5," 300,000 ",David," 48,000 "," 240,000 "," 60,000 "
2025-04-10,4,April,East,Abuja,Retail,Store,Printer P50,Electronics," 150,000 ",7," 1,050,000 ",Grace," 120,000 "," 840,000 "," 210,000 "
2025-04-27,4,April,North,Kano,Retail,Online,Microwave M20,Home Appliances," 60,000 ",7," 420,000 ",Musa," 48,000 "," 336,000 "," 84,000 "
2025-02-10,2,February,North,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances," 220,000 ",4," 880,000 ",Peter," 176,000 "," 704,000 "," 176,000 "
2025-02-21,2,February,East,Kano,Corporate,Store,Smartphone Z10,Electronics," 250,000 ",6," 1,500,000 ",David," 200,000 "," 1,200,000 "," 300,000 "
2025-03-07,3,March,North,Port Harcourt,Corporate,Online,Laptop A13,Electronics," 420,000 ",10," 4,200,000 ",Chidinma," 336,000 "," 3,360,000 "," 840,000 "
2025-03-30,3,March,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances," 30,000 ",9," 270,000 ",Grace," 24,000 "," 216,000 "," 54,000 "
2025-03-21,3,March,West,Kano,Retail,Store,Air Conditioner X2,Home Appliances," 180,000 ",8," 1,440,000 ",Musa," 144,000 "," 1,152,000 "," 288,000 "
2025-01-23,1,January,North,Lagos,Retail,Online,Laptop A13,Electronics," 420,000 ",5," 2,100,000 ",Aisha," 336,000 "," 1,680,000 "," 420,000 "
2025-01-09,1,January,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",9," 540,000 ",Chidinma," 48,000 "," 432,000 "," 108,000 "
2025-02-12,2,February,South,Kano,Corporate,Store,Office Chair Pro,Furniture," 85,000 ",5," 425,000 ",David," 68,000 "," 340,000 "," 85,000 "
2025-04-05,4,April,South,Kano,Corporate,Online,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",Musa," 68,000 "," 68,000 "," 17,000 "
2025-01-26,1,January,East,Lagos,Retail,Store,Microwave M20,Home Appliances," 60,000 ",8," 480,000 ",Peter," 48,000 "," 384,000 "," 96,000 "
2025-04-27,4,April,West,Kano,Corporate,Online,Printer P50,Electronics," 150,000 ",5," 750,000 ",Aisha," 120,000 "," 600,000 "," 150,000 "
2025-03-30,3,March,West,Abuja,Retail,Online,Sofa Classic,Furniture," 320,000 ",10," 3,200,000 ",Peter," 256,000 "," 2,560,000 "," 640,000 "
2025-01-29,1,January,West,Abuja,Corporate,Online,Smartphone Z10,Electronics," 250,000 ",6," 1,500,000 ",Grace," 200,000 "," 1,200,000 "," 300,000 "
2025-01-21,1,January,South,Kano,Corporate,Online,Printer P50,Electronics," 150,000 ",3," 450,000 ",Chidinma," 120,000 "," 360,000 "," 90,000 "
2025-03-21,3,March,West,Lagos,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",10," 600,000 ",Aisha," 48,000 "," 480,000 "," 120,000 "
2025-04-11,4,April,North,Kano,Retail,Online,Printer P50,Electronics," 150,000 ",8," 1,200,000 ",Musa," 120,000 "," 960,000 "," 240,000 "
2025-04-28,4,April,South,Port Harcourt,Retail,Online,Smartphone Z10,Electronics," 250,000 ",7," 1,750,000 ",Aisha," 200,000 "," 1,400,000 "," 350,000 "
2025-04-27,4,April,South,Abuja,Corporate,Online,Office Chair Pro,Furniture," 85,000 ",6," 510,000 ",Peter," 68,000 "," 408,000 "," 102,000 "
2025-02-11,2,February,North,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances," 180,000 ",9," 1,620,000 ",Aisha," 144,000 "," 1,296,000 "," 324,000 "
2025-03-24,3,March,West,Abuja,Corporate,Online,Blender B10,Home Appliances," 30,000 ",8," 240,000 ",Aisha," 24,000 "," 192,000 "," 48,000 "
2025-01-22,1,January,South,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture," 85,000 ",1," 85,000 ",David," 68,000 "," 68,000 "," 17,000 "
2025-02-05,2,February,West,Abuja,Corporate,Online,Blender B10,Home Appliances," 30,000 ",8," 240,000 ",Grace," 24,000 "," 192,000 "," 48,000 "
2025-01-16,1,January,North,Kano,Retail,Online,Sofa Classic,Furniture," 320,000 ",2," 640,000 ",Aisha," 256,000 "," 512,000 "," 128,000 "
2025-03-15,3,March,East,Port Harcourt,Retail,Online,Printer P50,Electronics," 150,000 ",5," 750,000 ",Aisha," 120,000 "," 600,000 "," 150,000 "
2025-03-23,3,March,East,Kano,Corporate,Online,Smartphone Z10,Electronics," 250,000 ",5," 1,250,000 ",Grace," 200,000 "," 1,000,000 "," 250,000 "
2025-01-19,1,January,North,Abuja,Corporate,Online,Refrigerator R55,Home Appliances," 220,000 ",10," 2,200,000 ",David," 176,000 "," 1,760,000 "," 440,000 "
2025-04-13,4,April,North,Kano,Corporate,Online,Microwave M20,Home Appliances," 60,000 ",2," 120,000 ",Peter," 48,000 "," 96,000 "," 24,000 "
2025-01-16,1,January,North,Kano,Corporate,Store,Smartphone Z10,Electronics," 250,000 ",1," 250,000 ",Aisha," 200,000 "," 200,000 "," 50,000 "
2025-01-15,1,January,West,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances," 180,000 ",8," 1,440,000 ",Grace," 144,000 "," 1,152,000 "," 288,000 "
2025-01-01,1,January,North,Lagos,Retail,Online,Printer P50,Electronics," 150,000 ",1," 150,000 ",Chidinma," 120,000 "," 120,000 "," 30,000 "
2025-02-01,2,February,North,Abuja,Retail,Online,Blender B10,Home Appliances," 30,000 ",6," 180,000 ",David," 24,000 "," 144,000 "," 36,000 "
2025-01-21,1,January,West,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances," 220,000 ",10," 2,200,000 ",Grace," 176,000 "," 1,760,000 "," 440,000 "
2025-01-17,1,January,West,Port Harcourt,Retail,Store,Laptop A13,Electronics," 420,000 ",1," 420,000 ",David," 336,000 "," 336,000 "," 84,000 "
2025-01-14,1,January,West,Lagos,Corporate,Store,Desktop PC D21,Electronics," 300,000 ",8," 2,400,000 ",David," 240,000 "," 1,920,000 "," 480,000 "
2025-02-26,2,February,North,Abuja,Corporate,Online,Smartphone Z10,Electronics," 250,000 ",3," 750,000 ",Chidinma," 200,000 "," 600,000 "," 150,000 "
2025-03-13,3,March,West,Abuja,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",4," 1,200,000 ",Peter," 240,000 "," 960,000 "," 240,000 "
2025-04-02,4,April,West,Kano,Retail,Online,Printer P50,Electronics," 150,000 ",6," 900,000 ",Peter," 120,000 "," 720,000 "," 180,000 "
2025-04-14,4,April,West,Abuja,Retail,Online,Laptop A13,Electronics," 420,000 ",2," 840,000 ",Chidinma," 336,000 "," 672,000 "," 168,000 "
2025-01-27,1,January,South,Lagos,Retail,Online,Refrigerator R55,Home Appliances," 220,000 ",1," 220,000 ",David," 176,000 "," 176,000 "," 44,000 "
2025-04-17,4,April,South,Abuja,Retail,Store,Refrigerator R55,Home Appliances," 220,000 ",8," 1,760,000 ",Aisha," 176,000 "," 1,408,000 "," 352,000 "
2025-03-19,3,March,North,Kano,Retail,Store,Blender B10,Home Appliances," 30,000 ",10," 300,000 ",Grace," 24,000 "," 240,000 "," 60,000 "
2025-03-02,3,March,North,Lagos,Corporate,Online,Blender B10,Home Appliances," 30,000 ",4," 120,000 ",Grace," 24,000 "," 96,000 "," 24,000 "
2025-04-07,4,April,West,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances," 180,000 ",6," 1,080,000 ",Chidinma," 144,000 "," 864,000 "," 216,000 "
2025-04-03,4,April,West,Abuja,Corporate,Online,Desktop PC D21,Electronics," 300,000 ",2," 600,000 ",Grace," 240,000 "," 480,000 "," 120,000 "
2025-01-27,1,January,East,Lagos,Retail,Online,Printer P50,Electronics," 150,000 ",9," 1,350,000 ",Chidinma," 120,000 "," 1,080,000 "," 270,000 "
